Business Name,Business Open or Closed?,Delivery/Take Out Only/Online Sales,Business Address,Business Phone Number,Business Website,Business Facebook Page,Business Twitter Page,Business Instagram Page,Last Modified Date/Time,Address,Latitude,Longitude,Accuracy Score,Accuracy Type,Zip,Source
Amelia's Trattoria,Closed,NA,111 Harvard St,617-868-7600,https://www.ameliastrattoria.com/,NA,NA,NA,2020-03-23T12:01:03Z,111 Harvard St,42.36499,-71.0927,1,rooftop,02139,City of Cambridge
Amorino Gelato,Open,Take Out,50 JFK St.,NA,https://www.amorino.com/us/,NA,NA,NA,2020-04-07T19:58:05Z,50 JFK St.,42.372051,-71.120456,1,rooftop,02138,City of Cambridge
Andala Coffee House,Closed,NA,286 Franklin St,NA,NA,https://www.facebook.com/andalacoffeehouse/,NA,NA,2020-03-22T11:15:22Z,286 Franklin St,42.364764,-71.105745,1,rooftop,02139,City of Cambridge
Andover Shop,Closed,Online Sales,22 Holyoke St.,NA,https://www.instagram.com/the_andover_shop/,https://www.facebook.com/AndoverShop/,NA,https://www.instagram.com/the_andover_shop/,2020-03-23T15:38:33Z,22 Holyoke St.,42.37227,-71.118333,1,rooftop,02138,City of Cambridge
Andre Hair Salon,Closed,NA,1206 Massaschusetts Ave,(617) 354-5210,NA,NA,NA,NA,2020-03-22T22:24:53Z,1206 Massaschusetts Ave,42.371851,-71.115392,0.33,place,02138,TIGER/Line® dataset from the US Census Bureau
Andy's Diner,Open,"Delivery
Take Out",2030 Mass Ave.,617.497.1444,http://www.andysdiner.net/,https://www.facebook.com/Andys-Diner-94923351791/,https://twitter.com/Andys_Diner,NA,2020-03-23T12:01:03Z,2030 Massachusetts Ave,42.390694,-71.122124,1,rooftop,02140,City of Cambridge
Anime Zakka,Closed,Online Sales,36 JFK St.,NA,https://www.animezakka.com/,https://www.facebook.com/Anime-Zakka-326943250672606,NA,NA,2020-03-23T15:23:43Z,36 JFK St.,42.372747,-71.119871,1,rooftop,02138,City of Cambridge
Ann Taylor,Closed,NA,44 Brattle St,NA,https://stores.anntaylor.com/ma/cambridge/44-brattle-street.html,NA,NA,NA,2020-03-23T14:52:45Z,44 Brattle St,42.373915,-71.121581,1,rooftop,02138,City of Cambridge
Anna's Taqueria,Open,"Delivery
Take Out",1 Porter Square,NA,https://www.annastaqueria.com/,NA,NA,NA,2020-03-23T12:01:03Z,1 Porter Square,42.388587,-71.118688,1,rooftop,02140,City of Cambridge
Anthropologie,Closed,NA,44 Brattle St,NA,https://www.anthropologie.com/stores/harvard-square-cambridge,NA,NA,NA,2020-03-23T14:52:45Z,44 Brattle St,42.373915,-71.121581,1,rooftop,02138,City of Cambridge
Antonia Bodywork,Closed,NA,872 Mass. Ave.,(617) 233-6871,http://www.antoninabodywork.com,NA,NA,NA,2020-03-26T18:02:11Z,872 Massachusetts Ave,42.367629,-71.107587,1,rooftop,02139,City of Cambridge
Apple Cinemas,Closed,NA,168 Alewife Brook Pkwy,NA,http://www.antoninabodywork.com,NA,NA,NA,2020-03-26T18:02:11Z,168 Alewife Brook Pkwy,42.39134,-71.138422,1,rooftop,02138,City of Cambridge
Arams #2 House of Pizza,Open,"Delivery
Take Out",345 Cambridge St,617-354-5154,https://www.arams2pizza.com/,NA,NA,NA,2020-03-23T12:01:03Z,345 Cambridge St,42.371375,-71.081793,1,rooftop,02141,City of Cambridge
Area Four,Open,"Delivery
Take Out",500 Technology Square,617-758-4444,https://www.areafour.com/location/area-four-kendall-square/,https://www.facebook.com/areafourcambridge,https://twitter.com/area_four,https://www.instagram.com/areafour/#,2020-03-29T14:12:15Z,500 Technology Square,42.363465,-71.092452,1,rooftop,02139,City of Cambridge
Armageddon Record Shop,Closed,"Delivery
Online Sales
Take Out",12B Eliot St.,(617) 492-1235,http://www.armageddonshopboston.com/index_boston.php,https://www.facebook.com/Armageddon-Shop-Boston-106339932754368/,NA,NA,2020-03-23T16:28:45Z,12B Eliot St.,42.372361,-71.121618,0.9,rooftop,02138,City of Cambridge
Armando's Pizza and Subs,Open,"Delivery
Take Out",163 Huron Ave,(617) 354-8275,NA,https://www.facebook.com/Armandos-pizza-subs-403505073042891/,NA,NA,2020-03-23T12:01:03Z,163 Huron Ave,42.382327,-71.131366,1,rooftop,02138,City of Cambridge
Aroush's Tailor Shop,Open,NA,864 Massachusetts Ave,(617) 354-0142,NA,NA,NA,NA,2020-03-22T10:48:10Z,864 Massachusetts Ave,42.367532,-71.107392,1,rooftop,02139,City of Cambridge
Arrow Cleaning and Tailoring,Closed,NA,1134 Massachusetts Ave,(617)-354-3233,https://www.arrowdrycleaners.com/,https://www.facebook.com/ArrowDryCleaners,NA,NA,2020-04-02T18:28:37Z,1134 Massachusetts Ave,42.370897,-71.114215,1,rooftop,02138,City of Cambridge
Art and Soul Yoga,Open,Online Sales,91 Hampshire St.,617-594-1794,http://www.artsoulyoga.com/Art_%26_Soul/Home.html,NA,NA,NA,2020-04-23T12:09:24Z,91 Hampshire St.,42.368962,-71.094832,1,rooftop,02139,City of Cambridge
ArtBar,Closed,NA,40 Edwin Land Blvd,NA,https://www.artbarcambridge.com/,https://www.facebook.com/ArtBarCambridge,https://twitter.com/artbarcambridge,https://www.instagram.com/artbarcambridge/,2020-03-22T08:56:38Z,40 Edwin Land Blvd,42.366789,-71.075076,0.33,place,02138,TIGER/Line® dataset from the US Census Bureau
Arthur Murray Dance Center,Closed,NA,151 Alewife Brook Pkwy,NA,https://arthurmurraydanceclasses.com/cambridge/?utm_source=gmb&utm_medium=organic&utm_campaign=am_cambridge,NA,NA,NA,2020-03-22T13:55:56Z,151 Alewife Brook Pkwy,42.393633,-71.141173,1,rooftop,02140,City of Cambridge
Artisans Trading Furniture,Closed,NA,125 Fawcett St,NA,https://artisans-trading.com/,https://www.facebook.com/artisanstrading,NA,https://www.instagram.com/artisanstrading/,2020-03-22T13:29:38Z,125 Fawcett St,42.392746,-71.147459,1,rooftop,02138,City of Cambridge
Asa Hair Design,Closed,NA,36 JFK St,(617) 661-6573,NA,https://www.facebook.com/Asa.Hair.Design,NA,NA,2020-03-23T15:30:49Z,36 JFK St,42.372747,-71.119871,1,rooftop,02138,City of Cambridge
Asgard,Closed,NA,350 Massachusetts Ave,NA,http://www.classicirish.com/,https://www.facebook.com/AsgardCambridge/,NA,NA,2020-03-23T14:14:50Z,350 Massachusetts Ave,42.362742,-71.099509,1,rooftop,02139,City of Cambridge
Asmara Restaurant,Open,Take Out,739 Mass. Ave.,617-864-7447,http://www.asmararestaurantboston.com/,NA,NA,NA,2020-03-23T17:13:25Z,739 Massachusetts Ave,42.366458,-71.105164,1,rooftop,02139,City of Cambridge
Atlas Barber Shop,Closed,NA,14A Eliot St.,(617) 945-1876,https://atlasbarbershop.net/,NA,NA,NA,2020-03-23T16:28:45Z,14A Eliot St.,42.37218,-71.121593,0.9,rooftop,02138,City of Cambridge
Atomic Bean Café,Closed,NA,904 Massachusetts Ave,NA,NA,https://www.facebook.com/atomicbeancafe/,NA,https://www.instagram.com/atomicbeancafe/,2020-03-22T10:37:12Z,904 Massachusetts Ave,42.368193,-71.108613,1,rooftop,02139,City of Cambridge
Atwood's Tavern,Closed,NA,877 Cambridge St,NA,https://www.atwoodstavern.com/,https://www.facebook.com/atwoodstavern,https://twitter.com/AtwoodsTvrn,https://www.instagram.com/atwoods_tavern/,2020-03-22T08:56:38Z,877 Cambridge St,42.372619,-71.091477,1,rooftop,02141,City of Cambridge
Audio Lab,Open,NA,36 JFK St.,(617) 864-9810,NA,https://www.facebook.com/pages/category/Electronics-Store/Audio-Lab-308166735868714/,NA,NA,2020-03-23T15:48:48Z,36 JFK St.,42.372747,-71.119871,1,rooftop,02138,City of Cambridge
Automatic,Closed,NA,50 Hampshire St,NA,https://www.theautomaticbar.com/,NA,NA,NA,2020-03-23T14:14:50Z,50 Hampshire St,42.366887,-71.09283,1,rooftop,02139,City of Cambridge
Azalea Massage,Closed,NA,2326 Mass. Ave.,(617) 661-5749,NA,NA,NA,NA,2020-03-22T18:47:52Z,2326 Massachusetts Ave,42.395739,-71.128615,1,rooftop,02140,City of Cambridge
B Good,Open,Delivery,301 Third St,857-285-6970,https://www.bgood.com/,https://www.facebook.com/BGOOD,https://twitter.com/b_good_,https://www.instagram.com/b.goodofficial/,2020-03-23T12:01:03Z,301 Third St,42.3642,-71.083446,1,rooftop,02141,City of Cambridge
Bagelsaurus,Closed,Online Sales,1796 Mass. Ave.,NA,http://www.bagelsaurus.com/,https://www.facebook.com/bagelsaurus13,https://twitter.com/bagelsaurus13,https://www.instagram.com/bagelsaurus13/,2020-03-23T12:01:03Z,1796 Massachusetts Ave,42.386068,-71.119453,1,rooftop,02140,City of Cambridge
Bambara,Closed,NA,25 Edwin Land Blvd,NA,https://www.bambara-cambridge.com/,https://www.facebook.com/Bambara.Cambridge,NA,https://www.instagram.com/bambaracamb/,2020-03-22T08:56:38Z,25 Edwin Land Blvd,42.367834,-71.07497,0.33,place,02138,TIGER/Line® dataset from the US Census Bureau
Baraka Cuisine,Open,Delivery,1728 Mass. Ave.,(617) 868-3951,https://www.barakacuisine.com/,https://www.facebook.com/barakacafe1998/,NA,NA,2020-03-23T12:01:03Z,1728 Massachusetts Ave,42.38414,-71.119664,1,rooftop,02138,City of Cambridge
Barismo,Closed,NA,295 Third St.,NA,http://www.barismo.com/locations/,NA,NA,NA,2020-03-21T18:40:23Z,295 Third St.,42.364427,-71.08338,1,rooftop,02141,City of Cambridge
Barismo,Closed,Online Sales,364 Broadway,617-714-5536,http://www.barismo.com/locations,NA,https://twitter.com/barismo,https://www.instagram.com/barismocoffee/,2020-03-23T12:01:03Z,364 Broadway,42.37054,-71.104367,1,rooftop,02139,City of Cambridge
Barre & Soul,Closed,Online Sales,36 JFK St.,NA,https://www.barresoul.com/harvard-square,https://www.facebook.com/barresoul,https://twitter.com/BarreSoul,https://www.instagram.com/barresoul/,2020-03-23T15:26:49Z,36 JFK St.,42.372747,-71.119871,1,rooftop,02138,City of Cambridge
Base Crave,Open,Take Out,344 Huron Ave.,617-945-1485,http://www.basecrave.com/,https://www.facebook.com/basecrave/,NA,NA,2020-03-23T12:09:05Z,344 Huron Ave.,42.381162,-71.137997,1,rooftop,02138,City of Cambridge
Basil Tree Catering & Café,Closed,NA,10 Fawcett St,NA,https://www.basiltree.com/,NA,NA,NA,2020-03-22T13:23:06Z,10 Fawcett St,42.389603,-71.145508,1,rooftop,02138,City of Cambridge
Basta Pasta,Open,Delivery,319 Western Anve,(617) 576-6672,https://bastapastacambridge.com/,https://www.facebook.com/Basta-Pasta-Trattoria-387210304760903/,NA,NA,2020-03-27T18:19:44Z,319 Western Ave,42.364642,-71.113231,1,rooftop,02139,City of Cambridge
Bay State Pool Supplies,Open,NA,691 Concord Ave.,NA,http://www.baystatepools.com/,NA,NA,NA,2020-03-23T16:46:14Z,691 Concord Ave.,42.390266,-71.150974,1,rooftop,02138,City of Cambridge
Beantown Taqueria,Open,"Delivery
Take Out",245 Massachusetts Ave,617-441-8689,http://www.beantowntaq.com/,https://www.facebook.com/beantowntaqueria/,NA,NA,2020-03-23T12:09:05Z,245 Massachusetts Ave,42.361739,-71.097241,1,rooftop,02139,City of Cambridge
Beat Brew Hall,Closed,NA,13A Brattle St,NA,https://www.beatbrewhall.com/,https://www.facebook.com/beatbrewhall/,NA,https://www.instagram.com/beatbrewhall/,2020-03-23T08:59:51Z,13A Brattle St,42.37345,-71.120147,0.9,rooftop,02138,City of Cambridge
Beauty Spa,Closed,NA,1766 Mass. Ave.,NA,https://www.beautyspacambridge.com/,https://www.facebook.com/trinitystouch/,NA,NA,2020-03-22T20:23:08Z,1766 Massachusetts Ave,42.385391,-71.119528,1,rooftop,02140,City of Cambridge
Beauty's Pizza,Open,"Delivery
Take Out",187 Hampshire Street,617-876-6969,http://beautys-pizza.com/zgrid/themes/13156/intro/index.jsp,https://www.facebook.com/BeautysPizza/,NA,https://www.instagram.com/beautyspizza/,2020-03-23T12:09:05Z,187 Hampshire Street,42.372755,-71.099431,1,rooftop,02139,City of Cambridge
BeautyBase Eyebrow Threading,Closed,NA,574 Cambridge St,617-499-9900,https://www.beautybasethreadnwax.com/,https://www.facebook.com/beautybasethreading/,NA,NA,2020-03-22T08:56:38Z,574 Cambridge St,42.371713,-71.085925,1,rooftop,02141,City of Cambridge
Bedworks,Closed,NA,15 Western Ave,NA,http://www.bedworks.net/,NA,NA,NA,2020-03-27T18:12:05Z,15 Western Ave,42.36535,-71.104985,1,rooftop,02139,City of Cambridge
Benedetto,Closed,NA,1 Bennett St.,617-661-5050,http://www.benedettocambridge.com/,NA,NA,NA,2020-03-23T16:35:27Z,1 Bennett St.,42.371992,-71.122511,1,rooftop,02138,City of Cambridge
Berryline,Open,"Delivery
Take Out",All locations,NA,https://berryline.com/,https://www.facebook.com/theberryline/,https://twitter.com/berryline,https://www.instagram.com/theberryline/,2020-03-23T12:09:05Z,NA,NA,NA,NA,NA,NA,NA
Bertucci's,Closed,NA,5 Cambridge Park Dri,NA,https://locations.bertuccis.com/us/ma/cambridge/5-cambridge-park-drive,NA,NA,NA,2020-03-22T13:55:56Z,5 Cambridge Park Dri,42.394984,-71.141351,1,rooftop,02140,City of Cambridge
Bertucci's,Open,"Delivery
Take Out",799 Main St,NA,https://locations.bertuccis.com/us/ma/cambridge/799-main-street,NA,NA,NA,2020-03-23T12:09:05Z,799 Main St,42.363357,-71.097282,1,rooftop,02139,City of Cambridge
Betty's Hair Now,Closed,NA,397 Cambridge St,(617) 868-9125,NA,https://www.facebook.com/Bettyshairnowsalon,NA,NA,2020-03-22T08:56:38Z,397 Cambridge St,42.371492,-71.082726,1,rooftop,02141,City of Cambridge
Big Picture Framing,Closed,NA,Both locations,NA,https://www.bigpictureframing.com/our-locations/cambridge-porter-sq,https://www.facebook.com/bigpictureframing,NA,NA,2020-03-22T17:22:34Z,NA,NA,NA,NA,NA,NA,NA
Bisq,Closed,NA,1071 Cambridge Street,NA,http://www.bisqcambridge.com/,https://www.facebook.com/bisqrestaurant/,https://twitter.com/BisqCambridge?ref_src=twsrc%5Etfw%7Ctwcamp%5Eembeddedtimeline%7Ctwterm%5Eprofile%3ABisqCambridge&ref_url=http%3A%2F%2Fwww.bisqcambridge.com%2F,https://www.instagram.com/bisqcambridge/,2020-03-21T21:47:13Z,1071 Cambridge Street,42.373083,-71.095123,1,rooftop,02139,City of Cambridge
Black Sheep,Closed,NA,350 Main St,NA,https://kendallhotel.com/dining/,NA,NA,NA,2020-03-23T14:14:50Z,350 Main St,42.362397,-71.087277,1,rooftop,02142,City of Cambridge
Black Sheep Bagel,Open,"Delivery
Take Out",56 JFK St.,617-945-2189,https://www.blacksheepbagelcafe.com/,NA,NA,https://www.instagram.com/blacksheepbagelcafe/,2020-04-11T16:58:57Z,56 JFK St.,42.371797,-71.120616,1,rooftop,02138,City of Cambridge
Blackbird Doughnuts,Closed,NA,1350 Mass Ave.,617.482.9000,https://www.blackbirddoughnuts.com/harvard-square,NA,NA,NA,2020-03-23T08:23:05Z,1350 Massachusetts Ave,42.372971,-71.11848,1,rooftop,02138,City of Cambridge
Blaze Pizza,Open,"Delivery
Take Out",One Canal Park,(857) 256-8062,https://hq.blazepizza.com/locations/cambridge/,NA,NA,NA,2020-03-23T12:09:05Z,One Canal Park,42.380442,-71.132947,1,place,02138,TIGER/Line® dataset from the US Census Bureau
Blue Bag Records,Closed,Online Sales,2325 Mass. Ave.,(617) 864-2583,https://bluebagrecords.com/,https://www.facebook.com/bluebagrecords,https://www.instagram.com/bluebagrecords/,NA,2020-03-23T12:09:05Z,2325 Massachusetts Ave,42.395864,-71.128267,1,rooftop,02140,City of Cambridge
Blue Bottle,Closed,NA,88 Ames St,NA,https://bluebottlecoffee.com/,https://www.facebook.com/bluebottlecoffee,https://twitter.com/bluebottleroast,https://www.instagram.com/bluebottle/,2020-03-21T18:40:23Z,88 Ames St,42.363312,-71.087597,1,rooftop,02142,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
Blue Bottle,Closed,NA,40 Bow St,NA,https://bluebottlecoffee.com/cafes/harvard-square,https://www.facebook.com/bluebottlecoffee,https://twitter.com/bluebottleroast,https://www.instagram.com/bluebottle/,2020-03-21T18:40:23Z,40 Bow St,42.371503,-71.116757,1,rooftop,02138,City of Cambridge
Bluemoon Smoke Shop,Closed,NA,1295 Cambridge Street,NA,NA,NA,NA,NA,2020-03-26T13:22:18Z,1295 Cambridge Street,42.373602,-71.099037,1,rooftop,02139,City of Cambridge
Bluemoon Smoke Shop,Closed,NA,1704 Mass. Ave.,NA,https://bluemoonsmokeshops.com/,NA,NA,NA,2020-03-26T13:22:18Z,1704 Massachusetts Ave,42.383247,-71.119757,1,rooftop,02138,City of Cambridge
BlueSmoke Shop,Closed,NA,2034 Mass Ave.,NA,https://bluemoonsmokeshops.com/,NA,NA,NA,2020-03-26T13:22:18Z,2034 Massachusetts Ave,42.390731,-71.122203,1,rooftop,02140,City of Cambridge
Boathouse,Closed,NA,65 Mt. Auburn St,NA,https://www.boathousecambridge.com/,https://www.facebook.com/theboathouseharvardsquare/,NA,NA,2020-03-23T15:38:33Z,65 Mt. Auburn St,42.371953,-71.118066,1,rooftop,02138,City of Cambridge
Bob Slate Stationer,Closed,NA,30 Brattle St,NA,http://bobslatestationer.com/,https://www.facebook.com/Bob-Slate-Stationer-151633671585656/,NA,NA,2020-03-23T08:59:51Z,30 Brattle St,42.373149,-71.120665,1,rooftop,02138,City of Cambridge
Boca Grande,Open,"Delivery
Take Out",149 First St,(617) 354-5550,http://bocagranderestaurant.com/,https://www.facebook.com/bocaburrito/,NA,NA,2020-04-21T16:16:19Z,149 First St,42.366254,-71.078065,1,rooftop,02141,City of Cambridge
Body One Massage,Closed,NA,1776 Mass. Ave.,NA,https://www.bodyonemassage.com/,NA,NA,NA,2020-03-22T20:04:08Z,1776 Massachusetts Ave,42.385753,-71.11949,1,rooftop,02140,City of Cambridge
BodyScapes Fitness,Closed,NA,356 Third St,617- 252-0020,https://www.bodyscapesfitness.com/gym-locations/kendall-square/our-facility/,https://www.facebook.com/BodyScapesFitness,https://twitter.com/BodyScapesFit,NA,2020-03-21T18:45:28Z,356 Third St,42.363619,-71.083436,1,rooftop,02141,City of Cambridge
Bon Chon,Open,Delivery,57 JFK St.,NA,https://bonchon.com/korean-fried-chicken-cambridge-ma/,NA,NA,NA,2020-03-23T12:09:05Z,57 JFK St.,42.372038,-71.120733,1,rooftop,02138,City of Cambridge
Bon Me - Alewife,Closed,NA,201 Alewife Brooke Pkwy,617-945-2822,http://www.bonmetruck.com/,https://www.facebook.com/bonmefoods,https://twitter.com/bonme,https://www.instagram.com/bonme/,2020-03-21T18:45:28Z,201 Alewife Brook Pkwy,42.390171,-71.142815,1,rooftop,02138,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
Bon Me - Kendall,Closed,NA,One Kendall Square,617-945-2615,http://www.bonmetruck.com/,https://www.facebook.com/bonmefoods,https://twitter.com/bonme,https://www.instagram.com/bonme/,2020-03-21T18:45:28Z,One Kendall Square,42.366971,-71.090615,0.33,place,02138,TIGER/Line® dataset from the US Census Bureau
